"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Anthony Firkser","TEN","TE18","0.0","0.0","0.0","2.9","34.8","0.1","0.0","4.3"
"D'Ernest Johnson","CLE","RB44","7.0","29.6","0.1","1.0","6.7","0.0","0.1","4.3"
"Anthony Miller","CHI","WR73","0.2","0.9","0.0","2.9","33.4","0.1","0.0","4.3"
"Larry Fitzgerald","ARI","WR74","0.0","0.0","0.0","3.4","35.2","0.1","0.0","4.3"
"Logan Thomas","WAS","TE19","0.0","0.0","0.0","3.1","30.9","0.2","0.0","4.3"
"Jeff Smith","NYJ","WR75","0.1","0.4","0.0","2.9","35.1","0.1","0.0","4.2"
"Darren Fells","HOU","TE20","0.0","0.0","0.0","2.8","30.9","0.2","0.0","4.2"
"Malcolm Brown","LAR","RB45","5.3","23.4","0.1","1.3","9.9","0.0","0.0","4.2"
"Greg Olsen","SEA","TE21","0.0","0.0","0.0","2.8","31.2","0.2","0.0","4.2"
"Dontrelle Inman","WAS","WR76","0.0","0.0","0.0","2.7","32.5","0.2","0.0","4.2"
"Cordarrelle Patterson","CHI","WR77","4.0","18.5","0.1","1.6","14.3","0.0","0.0","4.1"
"Corey Clement","PHI","RB46","7.1","24.3","0.1","1.2","8.7","0.0","0.0","4.0"
"Kendrick Bourne","SF","WR78","0.0","0.0","0.0","2.4","32.3","0.1","0.0","4.0"
"Cam Akers","LAR","RB47","6.9","27.2","0.1","0.8","5.6","0.0","0.1","4.0"
"David Moore","SEA","WR79","0.1","0.8","0.0","1.8","28.3","0.2","0.0","3.9"
"Sterling Shepard","NYG","WR80","0.2","1.8","0.0","2.6","29.3","0.1","0.0","3.9"
"JaMycal Hasty","SF","RB48","6.4","25.5","0.1","1.1","8.0","0.0","0.1","3.9"
"Tyler Eifert","JAC","TE22","0.0","0.0","0.0","2.7","28.2","0.2","0.0","3.8"
"Josh Reynolds","LAR","WR81","0.1","0.6","0.0","2.1","30.9","0.1","0.0","3.8"
"Jalen Guyton","LAC","WR82","0.2","0.9","0.0","2.0","27.9","0.1","0.0","3.8"
"Tony Pollard","DAL","RB49","5.1","22.8","0.1","1.4","8.2","0.0","0.1","3.7"
"Isaiah Wright","WAS","WR83","0.5","2.5","0.0","2.5","27.4","0.1","0.0","3.7"
"Devine Ozigbo","JAC","RB50","3.0","12.6","0.1","1.3","11.0","0.1","0.0","3.6"
"Jalen Reagor","PHI","WR84","0.1","0.6","0.0","2.1","29.8","0.1","0.1","3.5"
"KJ Hamler","DEN","WR85","0.5","2.2","0.0","1.9","26.7","0.1","0.0","3.5"
"Jeremy McNichols","TEN","RB51","4.9","18.9","0.1","1.2","8.6","0.0","0.0","3.5"
"Andy Isabella","ARI","WR86","0.2","0.5","0.0","1.8","26.5","0.1","0.0","3.5"
"Jeff Wilson Jr.","SF","RB52","5.4","20.1","0.1","1.2","7.7","0.0","0.1","3.4"
"Richard Rodgers","PHI","TE23","0.0","0.0","0.0","2.6","26.4","0.1","0.0","3.3"
"Nelson Agholor","LV","WR87","0.1","0.5","0.0","2.0","25.7","0.1","0.0","3.3"
"Chris Thompson","JAC","RB53","2.1","8.4","0.0","2.7","20.2","0.1","0.0","3.2"
"Dallas Goedert","PHI","TE24","0.0","0.0","0.0","2.0","19.8","0.2","0.0","3.2"
"Ke'Shawn Vaughn","TB","RB54","3.8","13.6","0.1","1.6","10.8","0.1","0.1","3.2"
"Gabriel Davis","BUF","WR88","0.1","0.5","0.0","1.9","24.7","0.1","0.0","3.2"
"Cam Sims","WAS","WR89","0.0","0.2","0.0","2.1","25.3","0.1","0.0","3.2"
"Kenny Stills","HOU","WR90","0.0","0.0","0.0","1.6","23.3","0.1","0.0","3.1"
"Benny Snell Jr.","PIT","RB55","5.7","23.2","0.1","0.6","2.4","0.0","0.1","3.1"
"Cedrick Wilson","DAL","WR91","0.1","0.2","0.0","1.8","23.0","0.1","0.0","3.1"
"Jalen Richard","LV","RB56","2.1","8.7","0.1","2.4","18.0","0.0","0.1","3.1"
"Giovani Bernard","CIN","RB57","3.0","11.3","0.1","1.9","14.9","0.0","0.0","3.1"
"Jordan Akins","HOU","TE25","0.0","0.0","0.0","2.0","22.1","0.1","0.0","3.1"
"Tyron Johnson","LAC","WR92","0.2","1.2","0.0","1.3","22.7","0.1","0.1","3.1"
