"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Cedrick Wilson","DAL","WR84","0.1","0.3","0.0","2.0","25.5","0.2","0.0","3.5"
"Kyle Rudolph","MIN","TE22","0.0","0.0","0.0","2.1","22.3","0.2","0.0","3.4"
"Isaiah Wright","WAS","WR85","0.3","2.1","0.0","2.3","26.4","0.1","0.0","3.4"
"Benny Snell Jr.","PIT","RB55","5.3","23.0","0.1","0.6","2.8","0.0","0.1","3.1"
"Willie Snead IV","BAL","WR86","0.0","0.1","0.0","2.1","24.4","0.1","0.0","3.1"
"Jeremy McNichols","TEN","RB56","4.5","16.1","0.1","1.1","7.4","0.0","0.0","3.1"
"Drew Sample","CIN","TE23","0.0","0.0","0.0","2.7","26.0","0.1","0.0","3.1"
"Anthony Firkser","TEN","TE24","0.0","0.0","0.0","1.9","22.5","0.1","0.0","3.1"
"Darrel Williams","KC","RB57","3.9","13.0","0.1","1.9","11.7","0.0","0.1","3.1"
"Devin Duvernay","BAL","WR87","0.3","2.5","0.0","1.8","21.4","0.1","0.0","3.1"
"Jordan Howard","MIA","RB58","5.9","15.0","0.3","0.6","2.0","0.0","0.1","3.1"
"Cameron Brate","TB","TE25","0.0","0.0","0.0","2.0","19.8","0.2","0.0","3.1"
"Braxton Berrios","NYJ","WR88","0.1","0.9","0.0","1.9","24.2","0.1","0.0","3.1"
"Olamide Zaccheaus","ATL","WR89","0.1","0.3","0.0","2.0","24.6","0.1","0.0","3.0"
"Chris Herndon IV","NYJ","TE26","0.0","0.0","0.0","2.3","24.3","0.1","0.0","3.0"
"Wayne Gallman","NYG","RB59","4.8","19.4","0.1","1.1","6.1","0.0","0.1","3.0"
"Dan Arnold","ARI","TE27","0.0","0.0","0.0","2.0","23.2","0.1","0.0","2.9"
"Jordan Wilkins","IND","RB60","4.1","20.6","0.1","0.6","3.7","0.0","0.0","2.9"
"Jack Doyle","IND","TE28","0.0","0.0","0.0","2.2","22.9","0.1","0.0","2.9"
"C.J. Board","NYG","WR90","0.0","0.6","0.0","1.8","21.6","0.1","0.0","2.8"
"Sterling Shepard","NYG","WR91","0.2","1.8","0.0","1.8","20.1","0.1","0.0","2.8"
"Tyler Johnson","TB","WR92","0.1","0.5","0.0","1.7","22.5","0.1","0.0","2.7"
"Dion Lewis","NYG","RB61","2.8","9.8","0.0","1.9","13.5","0.0","0.0","2.7"
"Vyncint Smith","NYJ","WR93","0.2","1.7","0.0","1.3","18.0","0.1","0.0","2.7"
"Ian Thomas","CAR","TE29","0.0","0.0","0.0","2.3","20.1","0.1","0.0","2.7"
"Jakeem Grant","MIA","WR94","0.4","2.3","0.0","1.6","18.6","0.1","0.0","2.7"
"Gerald Everett","LAR","TE30","0.0","0.0","0.0","1.9","21.3","0.1","0.0","2.6"
"Anthony McFarland Jr.","PIT","RB62","3.7","14.3","0.1","0.9","6.5","0.0","0.0","2.6"
"Tyler Kroft","BUF","TE31","0.0","0.0","0.0","1.8","17.3","0.1","0.0","2.6"
