Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Ross Dwelley (15962191),Ross Dwelley,15962191,TE/FLEX,2500,SF@DAL 12/20/2020 01:00PM ET,SF,3.69
TE,Charlie Woerner (15962193),Charlie Woerner,15962193,TE/FLEX,2500,SF@DAL 12/20/2020 01:00PM ET,SF,1.32
TE,Blake Bell (15962195),Blake Bell,15962195,TE/FLEX,2500,SF@DAL 12/20/2020 01:00PM ET,DAL,2.03
TE,Sean McKeon (15962197),Sean McKeon,15962197,TE/FLEX,2500,SF@DAL 12/20/2020 01:00PM ET,DAL,0
TE,Blake Jarwin (15962199),Blake Jarwin,15962199,TE/FLEX,2500,SF@DAL 12/20/2020 01:00PM ET,DAL,2.2
TE,Vance McDonald (15962177),Vance McDonald,15962177,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,PIT,2.16
TE,Kevin Rader (15962179),Kevin Rader,15962179,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,PIT,0
TE,Zach Gentry (15962181),Zach Gentry,15962181,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,PIT,0
TE,Cethan Carter (15962183),Cethan Carter,15962183,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,CIN,0.66
TE,Mason Schreck (15962185),Mason Schreck,15962185,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,CIN,0
TE,C.J. Uzomah (15962187),C.J. Uzomah,15962187,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,CIN,11.35
TE,Clark Harris (15962189),Clark Harris,15962189,TE/FLEX,2500,PIT@CIN 12/21/2020 08:15PM ET,CIN,0
DST,Broncos  (15962395),Broncos ,15962395,DST,2400,BUF@DEN 12/19/2020 04:30PM ET,DEN,5.08
DST,Texans  (15962394),Texans ,15962394,DST,2400,HOU@IND 12/20/2020 01:00PM ET,HOU,3.92
DST,Falcons  (15962396),Falcons ,15962396,DST,2300,TB@ATL 12/20/2020 01:00PM ET,ATL,5.08
DST,Raiders  (15962397),Raiders ,15962397,DST,2300,LAC@LV 12/17/2020 08:20PM ET,LV,2.69
DST,Panthers  (15962399),Panthers ,15962399,DST,2200,CAR@GB 12/19/2020 08:15PM ET,CAR,5.54
DST,Lions  (15962398),Lions ,15962398,DST,2200,DET@TEN 12/20/2020 01:00PM ET,DET,2.54
DST,Jets  (15962400),Jets ,15962400,DST,2100,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,3.69
DST,Jaguars  (15962401),Jaguars ,15962401,DST,2000,JAX@BAL 12/20/2020 01:00PM ET,JAX,4.23
DST,Bengals  (15962402),Bengals ,15962402,DST,2000,PIT@CIN 12/21/2020 08:15PM ET,CIN,2.85
