UniquePlayer,MaddenPlayer,PerfMatch,PerfName,DKPointsName,Status
D'Andre SwiftRB15260874,D'Andre SwiftRB15260874,D'Andre SwiftRB15260874,D'Andre Swift,"Swift, D'Andre",
Rob GronkowskiTE15260886,Rob GronkowskiTE15260886,Rob GronkowskiTE15260886,Rob Gronkowski,"Gronkowski, Rob",
AJ McCarronQB15260889,A.J. McCarronQB15260889,,,,NoMatch
Alex SmithQB15260891,Alex SmithQB15260891,,,,NoMatch
DeSean JacksonWR15260862,DeSean JacksonWR15260862,DeSean JacksonWR15260862,DeSean Jackson,"Jackson, DeSean",
Allen LazardWR15260875,Allen LazardWR15260875,Allen LazardWR15260875,Allen Lazard,"Lazard, Allen",
Breshad PerrimanWR15260887,Breshad PerrimanWR15260887,Breshad PerrimanWR15260887,Breshad Perriman,"Perriman, Breshad",
Marcus MariotaQB15260876,Marcus MariotaQB15260876,,,,NoMatch
David BloughQB15260874,David BloughQB15260874,,,,NoMatch
Danny AmendolaWR15260874,Danny AmendolaWR15260874,Danny AmendolaWR15260874,Danny Amendola,"Amendola, Danny",
Matt MooreQB15260868,,,,,NoMatch
Boston ScottRB15260862,Boston ScottRB15260862,Boston ScottRB15260862,Boston Scott,"Scott, Boston",
Justin JeffersonWR15260877,Justin JeffersonWR15260877,Justin JeffersonWR15260877,Justin Jefferson,"Jefferson, Justin",
Robert Griffin IIIQB15260866,Robert Griffin IIIQB15260866,Robert Griffin IIIQB15260866,Robert Griffin III,"Griffin III, Robert",
Cole BeasleyWR15260861,Cole BeasleyWR15260861,Cole BeasleyWR15260861,Cole Beasley,"Beasley, Cole",
Tony PollardRB15260870,Tony PollardRB15260870,Tony PollardRB15260870,Tony Pollard,"Pollard, Tony",
Benny Snell Jr.RB15260860,Benny Snell JrRB15260860,Benny Snell Jr.RB15260860,Benny Snell Jr.,"Snell, Benny",
Blaine GabbertQB15260886,Blaine GabbertQB15260886,,,,NoMatch
Steven Sims Jr.WR15260891,Steven SimsWR15260891,Steven SimsWR15260891,Steven Sims,"Sims Jr., Steven",
Jalen RichardRB15260876,Jalen RichardRB15260876,Jalen RichardRB15260876,Jalen Richard,"Richard, Jalen",
Robby AndersonWR15260878,Robby AndersonWR15260878,Robby AndersonWR15260878,Robby Anderson,"Anderson, Robby",
Mike WilliamsWR15260872,Mike WilliamsWR15260872,Mike WilliamsWR15260872,Mike Williams,"Williams, Mike",
Brett HundleyQB15260888,Brett HundleyQB15260888,,,,NoMatch
Darrell Henderson Jr.RB15260882,Darrell Henderson JrRB15260882,Darrell HendersonRB15260882,Darrell Henderson,"Henderson, Darrell",
Blake JarwinTE15260870,Blake JarwinTE15260870,Blake JarwinTE15260870,Blake Jarwin,"Jarwin, Blake",
Darius SlaytonWR15260879,Darius SlaytonWR15260879,Darius SlaytonWR15260879,Darius Slayton,"Slayton, Darius",
Sony MichelRB15260865,Sony MichelRB15260865,Sony MichelRB15260865,Sony Michel,"Michel, Sony",
Latavius MurrayRB15260880,Latavius MurrayRB15260880,Latavius MurrayRB15260880,Latavius Murray,"Murray, Latavius",
Carlos HydeRB15260881,Carlos HydeRB15260881,Carlos HydeRB15260881,Carlos Hyde,"Hyde, Carlos",
Sammy WatkinsWR15260868,Sammy WatkinsWR15260868,Sammy WatkinsWR15260868,Sammy Watkins,"Watkins, Sammy",
Kyle AllenQB15260891,Kyle AllenQB15260891,,,,NoMatch
Dede WestbrookWR15260884,Dede WestbrookWR15260884,,,,NoMatch
Will GrierQB15260878,Will GrierQB15260878,,,,NoMatch
Curtis SamuelWR15260878,Curtis SamuelWR15260878,Curtis SamuelWR15260878,Curtis Samuel,"Samuel, Curtis",
Eric EbronTE15260860,Eric EbronTE15260860,Eric EbronTE15260860,Eric Ebron,"Ebron, Eric",
Adrian PetersonRB15260874,Adrian PetersonRB15260891,Adrian PetersonRB15260874,Adrian Peterson,"Peterson, Adrian",
Preston WilliamsWR15260890,Preston WilliamsWR15260890,Preston WilliamsWR15260890,Preston Williams,"Williams, Preston",
Mohamed SanuWR15260865,Mohamed Sanu SrWR15260865,,,,NoMatch
Mike GesickiTE15260890,Mike GesickiTE15260890,Mike GesickiTE15260890,Mike Gesicki,"Gesicki, Mike",
Ke'Shawn VaughnRB15260886,Ke'Shawn VaughnRB15260886,,,,NoMatch
Duke JohnsonRB15260889,Duke Johnson JrRB15260889,Duke JohnsonRB15260889,Duke Johnson,"Johnson, Duke",
